00:00:00	00:00:19	Marlatt introduces the event.	Context
00:00:20	00:02:13	Marlatt provides an introduction to leaf leaf/s and the poems, explaining that they were written at a point when she was "trying to figure out who [she] was" and "trying to figure out language."	Context
00:02:20	00:03:30	The 1969 recording of Marlatt reading leaf leaf/s is played.	1969
00:03:30	00:04:55	Marlatt reads her poems aloud from where the 1969 recording left off.	2019
00:05:00	00:05:54	The 1969 recording of Marlatt reading leaf leaf/s is played.	1969
00:05:55	00:06:30	Marlatt provides some background on the inspirations behind the poem played aloud through the recording.	Context
00:06:32	00:06:48	Marlatt decides between reading one or two more poems from leaf leaf/s.	Context
00:06:49	00:07:15	Marlatt reads her poems aloud.	2019
00:07:23	00:07:57	The 1969 recording of Marlatt reading leaf leaf/s is played.	1969
00:08:05	00:08:15	Marlatt points out that "you never know, when you're preparing for a reading, you feel like reading one poem and then when you get up there, you feel like reading another." People in the audience laugh.	Context
00:08:15	00:08:26	Marlatt introduces the second part of leaf leaf/s.	Context
00:08:28	00:09:20	Marlatt reads her poems aloud.	2019
00:09:28	00:11:07	The 1969 recording of Marlatt reading leaf leaf/s is played.	1969
00:11:11	00:11:17	Marlatt prefaces the next and final poem that she will read aloud.	Context
00:11:17	00:11:41	Marlatt reads the last poem for the event out loud.	2019
